district,area_sqft,latitude,longitude,land_type,location_type,road_access,utilities_available,price_per_sqft
Vijayawada,69336.0,16.488915,80.563173,Commercial Plot,Urban,yes,no,3716.48
Vijayawada,355301.0,16.392378,80.756102,Agricultural,Rural,no,yes,56.5
Thiruvananthapuram,44188.0,8.6432,77.047231,Agricultural,Semi-Urban,yes,yes,637.49
Visakhapatnam,15583.0,17.821311,83.319509,Vacant,Commercial,yes,yes,5418.82
Madurai,40074.0,9.952942,78.066491,Residential Plot,Urban,yes,no,1396.81
Erode,72926.0,11.489404,77.765791,Agricultural,Rural,yes,no,25.75
Erode,195780.0,11.475077,77.837077,Agricultural,Rural,yes,no,38.65
Bangalore,8628.0,12.935662,77.655701,Commercial Plot,Commercial,no,yes,16797.64
Hyderabad,10310.0,17.517203,78.379203,Development,Commercial,no,yes,11941.05
Nashik,299640.0,19.913044,73.720238,Agricultural,Rural,yes,yes,165.58
Kochi,221104.0,9.972487,76.380853,Agricultural,Rural,yes,no,193.51
Trichy,59829.0,10.798119,78.841796,Agricultural,Rural,no,yes,72.79
Mangalore,11788.0,12.922052,74.904862,Vacant,Rural,yes,no,352.64
Visakhapatnam,43091.0,17.780007,83.15278,Vacant,Commercial,yes,yes,8628.66
Chennai,39291.0,13.211374,80.34728,Commercial Plot,Commercial,yes,no,25654.23
Chennai,76797.0,13.044874,80.169165,Commercial Plot,Commercial,yes,no,7359.24
Salem,34150.0,11.690437,78.002224,Vacant,Rural,no,yes,153.63
Aurangabad,412002.0,20.00582,75.25324,Agricultural,Rural,no,no,20.06
Madurai,10420.0,9.877569,78.224673,Vacant,Semi-Urban,yes,no,953.7
Erode,38339.0,11.457053,77.678705,Vacant,Rural,no,yes,106.27
Vijayawada,341881.0,16.372002,80.564956,Agricultural,Rural,no,yes,185.84
Nashik,50360.0,19.869487,73.743059,Residential Plot,Urban,yes,no,833.9
Trichy,287562.0,10.8089,78.78034,Agricultural,Rural,yes,no,60.92
Bangalore,27102.0,12.845837,77.627089,Commercial Plot,Urban,yes,yes,13447.47
Tirupur,40419.0,11.075094,77.302403,Vacant,Commercial,yes,no,2486.35
Mysore,27646.0,12.416992,76.547605,Vacant,Rural,no,no,242.98
Mangalore,52629.0,12.831382,74.73528,Vacant,Commercial,yes,yes,1782.45
Visakhapatnam,18330.0,17.754129,83.217338,Vacant,Commercial,no,yes,4918.07
Coimbatore,34212.0,11.102728,76.936718,Vacant,Urban,yes,yes,1342.41
Salem,51772.0,11.559059,78.164852,Vacant,Semi-Urban,yes,no,587.42
Vijayawada,10700.0,16.54446,80.646844,Vacant,Rural,yes,no,278.95
Bangalore,37736.0,12.864575,77.641803,Commercial Plot,Urban,yes,yes,18495.46
Madurai,31278.0,10.060212,78.237228,Vacant,Rural,no,no,256.18
Coimbatore,164832.0,11.148571,76.840403,Agricultural,Rural,no,no,40.67
Aurangabad,33070.0,19.813634,75.401787,Commercial Plot,Semi-Urban,yes,yes,504.96
Trichy,344942.0,10.876933,78.760245,Agricultural,Rural,yes,no,56.59
Chennai,18931.0,13.149328,80.336604,Commercial Plot,Commercial,yes,yes,24731.78
Coimbatore,56380.0,10.88395,76.981053,Vacant,Semi-Urban,yes,yes,431.65
Hyderabad,243955.0,17.412661,78.453351,Agricultural,Semi-Urban,no,yes,1729.22
Thiruvananthapuram,33147.0,8.482581,77.045153,Development,Urban,yes,yes,6239.83
Coimbatore,65195.0,11.16297,77.001993,Development,Urban,yes,yes,3078.45
Coimbatore,59268.0,11.15475,77.026588,Development,Urban,yes,yes,5793.41
Madurai,39109.0,9.942422,78.245041,Vacant,Urban,yes,no,2625.37
Thiruvananthapuram,198097.0,8.409449,76.788758,Agricultural,Rural,no,no,91.33
Erode,11432.0,11.290789,77.863192,Industrial,Semi-Urban,yes,yes,270.98
Tirupur,7415.0,11.048246,77.479709,Vacant,Rural,no,yes,281.89
Vellore,52761.0,13.062837,78.99887,Agricultural,Rural,no,no,88.35
Tirunelveli,25627.0,8.588481,77.859831,Residential Plot,Semi-Urban,yes,no,234.64
Erode,64585.0,11.442814,77.735637,Vacant,Rural,no,no,34.35
Thiruvananthapuram,5690.0,8.564863,77.027911,Vacant,Urban,no,yes,1857.63
Visakhapatnam,2400.0,17.682204,83.342303,Vacant,Rural,no,yes,79.56
Tirupur,13806.0,11.094915,77.389931,Residential Plot,Urban,yes,yes,3553.39
Tirunelveli,68438.0,8.791748,77.866857,Commercial Plot,Urban,yes,yes,1894.21
Madurai,79291.0,10.06432,78.185307,Development,Urban,yes,yes,4229.02
Chennai,61607.0,13.136844,80.299623,Residential Plot,Semi-Urban,yes,no,1872.46
Salem,64059.0,11.54954,78.245643,Industrial,Semi-Urban,no,no,269.76
Vellore,53360.0,12.932468,79.112343,Vacant,Rural,no,yes,126.16
Pune,406260.0,18.386147,73.83069,Agricultural,Rural,no,yes,48.69
Kochi,25903.0,9.927258,76.261933,Commercial Plot,Urban,no,yes,5049.6
Aurangabad,56231.0,20.010847,75.292965,Vacant,Rural,no,no,90.31
Vijayawada,6672.0,16.555553,80.692673,Vacant,Urban,yes,yes,3010.69
Erode,42996.0,11.208032,77.824395,Vacant,Rural,no,no,117.51
Mangalore,31325.0,12.952449,74.939002,Commercial Plot,Urban,yes,yes,4293.99
Nashik,24977.0,20.085648,73.9332,Vacant,Rural,no,no,159.97
Bangalore,16955.0,12.912026,77.50797,Development,Semi-Urban,yes,yes,2060.65
Pune,11556.0,18.545511,73.945726,Vacant,Urban,yes,yes,9730.46
Visakhapatnam,234260.0,17.745863,83.080599,Agricultural,Rural,yes,no,85.32
Vijayawada,4421.0,16.497504,80.79421,Residential Plot,Urban,yes,yes,2540.87
Bangalore,33721.0,12.846074,77.577534,Vacant,Rural,no,no,286.82
Tirunelveli,430750.0,8.749982,77.642785,Agricultural,Semi-Urban,yes,yes,87.64
Bangalore,342269.0,12.833343,77.656887,Agricultural,Rural,no,no,296.8
Visakhapatnam,201029.0,17.564394,83.322683,Agricultural,Rural,yes,no,55.25
Mysore,51813.0,12.26165,76.513882,Residential Plot,Urban,yes,yes,4043.35
Mysore,14542.0,12.176577,76.743168,Development,Urban,yes,yes,2549.34
Tirupur,35355.0,11.153272,77.226103,Residential Plot,Urban,yes,no,861.65
Mangalore,54336.0,12.902486,74.819835,Development,Commercial,no,yes,5694.74
Salem,46082.0,11.515103,78.131151,Vacant,Rural,no,yes,79.99
Trichy,42459.0,10.866578,78.564392,Vacant,Semi-Urban,no,no,407.1
Coimbatore,63537.0,11.030477,77.056179,Residential Plot,Semi-Urban,yes,yes,1131.69
Pune,81477.0,18.537826,73.77416,Development,Commercial,yes,no,7862.61
Hyderabad,60073.0,17.5287,78.42449,Vacant,Commercial,yes,yes,19017.29
Vijayawada,9397.0,16.492212,80.68065,Industrial,Semi-Urban,no,no,487.58
Vellore,65706.0,12.840972,79.101861,Development,Semi-Urban,yes,yes,499.54
Thiruvananthapuram,429542.0,8.521899,76.788587,Agricultural,Rural,no,no,139.83
Mysore,78152.0,12.380052,76.749139,Development,Semi-Urban,yes,yes,1833.99
Vellore,42865.0,12.904228,79.222878,Vacant,Semi-Urban,yes,yes,215.12
Visakhapatnam,9325.0,17.777045,83.278718,Vacant,Rural,no,no,150.96
Salem,39277.0,11.646046,78.136609,Industrial,Semi-Urban,yes,no,432.64
Madurai,307383.0,9.867187,78.038961,Agricultural,Rural,no,yes,144.82
Vijayawada,327213.0,16.518664,80.688783,Agricultural,Rural,no,yes,143.16
Nashik,252396.0,19.92819,73.707303,Agricultural,Rural,no,yes,118.93
Bangalore,24409.0,13.060499,77.622026,Vacant,Commercial,yes,yes,12723.81
Vijayawada,68489.0,16.359605,80.646924,Commercial Plot,Semi-Urban,no,yes,793.08
Mangalore,3777.0,12.870911,74.719015,Vacant,Commercial,no,yes,2005.34
Coimbatore,21785.0,10.926672,77.081336,Vacant,Rural,yes,yes,81.66
Nashik,184436.0,19.879975,73.928943,Agricultural,Rural,no,no,44.58
Erode,1049.0,11.271725,77.690052,Residential Plot,Urban,no,yes,1417.17
Erode,41886.0,11.34239,77.604149,Agricultural,Rural,no,no,32.09
Thiruvananthapuram,39373.0,8.620169,76.978687,Vacant,Semi-Urban,no,no,827.61
Aurangabad,33727.0,19.81868,75.301275,Vacant,Semi-Urban,yes,yes,437.49
Visakhapatnam,83763.0,17.797265,83.086367,Commercial Plot,Semi-Urban,yes,yes,3426.16
Mysore,425112.0,12.233182,76.489869,Agricultural,Semi-Urban,yes,yes,528.46
Mangalore,85977.0,12.758491,74.947848,Commercial Plot,Commercial,no,yes,6984.48
Bangalore,41439.0,13.098846,77.613948,Vacant,Commercial,yes,yes,14221.65
Erode,39988.0,11.37269,77.608349,Residential Plot,Urban,yes,yes,1843.6
Salem,71251.0,11.610617,78.02738,Development,Urban,no,no,1216.33
Hyderabad,8026.0,17.38514,78.44019,Vacant,Urban,yes,yes,8957.57
Trichy,24016.0,10.740015,78.580956,Commercial Plot,Urban,yes,yes,2600.04
Visakhapatnam,44999.0,17.777969,83.110438,Residential Plot,Urban,yes,yes,3403.06
Hyderabad,57567.0,17.43787,78.483538,Vacant,Commercial,no,no,8461.29
Hyderabad,660.0,17.262928,78.491384,Vacant,Commercial,yes,no,14479.67
Tirupur,21804.0,11.004808,77.331947,Vacant,Rural,no,no,101.6
Vijayawada,35362.0,16.592987,80.649983,Vacant,Rural,no,no,153.39
Visakhapatnam,617.0,17.720913,83.175548,Residential Plot,Semi-Urban,no,no,861.85
Trichy,39830.0,10.659471,78.778485,Residential Plot,Urban,yes,yes,1587.12
Mangalore,181923.0,12.831785,74.786316,Agricultural,Rural,yes,yes,213.88
Madurai,10380.0,10.060776,78.037067,Residential Plot,Urban,yes,yes,1260.29
Pune,56302.0,18.539005,73.788186,Commercial Plot,Urban,yes,yes,12757.62
Chennai,10873.0,13.10776,80.229299,Vacant,Urban,yes,yes,12006.83
Mangalore,10874.0,12.852182,74.883841,Residential Plot,Urban,no,yes,3165.78
Bangalore,251974.0,13.001723,77.550094,Agricultural,Semi-Urban,yes,yes,2790.61
Vellore,390126.0,12.797293,79.106202,Agricultural,Rural,yes,no,107.53
Hyderabad,33273.0,17.251083,78.444412,Vacant,Urban,yes,yes,13737.87
Hyderabad,49847.0,17.383491,78.542109,Vacant,Rural,no,yes,103.23
Kochi,24502.0,9.979024,76.407621,Development,Commercial,yes,yes,11462.47
Mangalore,34586.0,13.016604,74.730931,Residential Plot,Urban,yes,no,5156.21
Bangalore,17441.0,13.018949,77.652641,Commercial Plot,Urban,yes,yes,22604.6
Mysore,23646.0,12.238823,76.608867,Vacant,Rural,no,yes,243.8
Erode,16081.0,11.383178,77.825647,Industrial,Semi-Urban,no,yes,179.78
Nashik,294983.0,20.102908,73.713954,Agricultural,Semi-Urban,yes,no,406.6
Coimbatore,30029.0,10.934192,76.865539,Residential Plot,Urban,yes,no,3684.78
Thiruvananthapuram,25313.0,8.601342,77.074972,Industrial,Semi-Urban,no,yes,1384.73
Trichy,27510.0,10.757166,78.707977,Vacant,Rural,no,no,44.54
Nashik,3381.0,20.107819,73.913999,Development,Semi-Urban,yes,no,1263.22
Bangalore,63291.0,12.990076,77.543494,Vacant,Urban,yes,no,15157.6
Vellore,22634.0,12.946485,79.197497,Industrial,Semi-Urban,yes,yes,520.24
Tirupur,2663.0,11.185173,77.421341,Industrial,Semi-Urban,no,no,184.98
Coimbatore,9088.0,11.145505,77.08652,Vacant,Urban,yes,yes,3248.74
Salem,42493.0,11.650509,78.202215,Industrial,Semi-Urban,no,yes,367.23
Tirunelveli,82169.0,8.659515,77.892199,Development,Urban,yes,no,600.1
Madurai,860.0,10.041041,78.142501,Vacant,Rural,no,no,96.46
Pune,67257.0,18.559108,73.892621,Agricultural,Rural,no,yes,61.41
Chennai,78816.0,12.960679,80.34677,Commercial Plot,Urban,no,no,10497.21
Hyderabad,283633.0,17.533187,78.569389,Agricultural,Semi-Urban,no,no,1107.7
Trichy,18387.0,10.913901,78.801333,Commercial Plot,Semi-Urban,yes,yes,361.57
Hyderabad,11721.0,17.322627,78.419156,Commercial Plot,Commercial,no,no,11243.79
Bangalore,80564.0,12.941219,77.663484,Development,Commercial,yes,yes,14681.71
Mysore,171830.0,12.389755,76.690435,Agricultural,Rural,no,no,80.43
Nashik,63880.0,20.002256,73.641684,Vacant,Rural,yes,yes,199.1
Vellore,117439.0,12.811243,79.009525,Agricultural,Rural,no,no,22.2
Mysore,24748.0,12.277042,76.773324,Vacant,Urban,yes,yes,2174.96
Tirunelveli,389904.0,8.705814,77.65836,Agricultural,Semi-Urban,no,no,158.39
Aurangabad,14895.0,19.9203,75.206589,Vacant,Rural,no,no,40.95
Aurangabad,8548.0,19.816539,75.341237,Commercial Plot,Urban,no,yes,1589.67
Vijayawada,31675.0,16.495378,80.675507,Agricultural,Semi-Urban,no,yes,383.35
Trichy,46386.0,10.919088,78.733764,Vacant,Rural,no,no,122.31
Kochi,30631.0,9.922831,76.349859,Vacant,Rural,yes,no,384.87
Madurai,54041.0,9.828041,78.126324,Vacant,Rural,no,no,209.0
Aurangabad,62666.0,19.889109,75.390733,Development,Urban,yes,yes,2250.95
Pune,44042.0,18.37318,73.877089,Development,Urban,yes,no,13262.15
Salem,2098.0,11.679329,78.132448,Development,Semi-Urban,yes,yes,977.02
Chennai,21399.0,13.224635,80.23426,Development,Commercial,yes,yes,16809.15
Vellore,15737.0,12.913994,79.054768,Vacant,Semi-Urban,yes,no,430.5
Nashik,41963.0,20.015995,73.747478,Development,Semi-Urban,yes,yes,491.63
Salem,61364.0,11.582545,78.049832,Commercial Plot,Urban,yes,yes,3486.56
Erode,23110.0,11.266717,77.808726,Industrial,Semi-Urban,no,yes,264.73
