property_id,district,latitude,longitude,area_sqft,property_type,location_type,bhk_type,age_of_property,price_per_sqft,total_price,road_access,utilities_available,water_supply,electricity,ownership_type,transaction_type,legal_status,amenities,days_on_market,seller_type,demand_score,location_score,price_trend,roi_percentage,investment_potential,date_listed
PROP002839,Visakhapatnam,17.650976,83.114336,3604.47,Office Space,Commercial,NA,29,5063.12,14151388.37,Yes,No,No,Yes,Freehold,Rent,Disputed,"WiFi, Parking, Elevator, AC",79,Builder,63.91,80.0,Increasing,6.22,Medium,2026-07-05
PROP002840,Delhi,28.583303,77.38996,34446.7,Vacant Land,Rural,NA,6,2245.25,80320043.76,Yes,Yes,Yes,Yes,Freehold,Sell,Clear,Basic,149,Real Estate Agent,43.25,32.5,Stable,6.66,Low,2026-04-26
PROP002841,Vellore,13.036671,79.263317,7337.93,Development Land,Semi-Urban,NA,8,1489.21,8183320.35,No,Yes,No,Yes,Co-op,Buy,Disputed,Basic,89,NRI,59.8,50.0,Increasing,14.41,Low,2026-06-25
PROP002842,Indore,22.767527,75.888551,120938.62,Industrial Plot,Industrial Hub,NA,0,1449.47,160651032.0,Yes,Yes,Yes,Yes,Freehold,Rent,Clear,"Road Access, Water Supply",89,Builder,41.48,40.0,Stable,5.73,Low,2026-06-25
PROP002843,Madurai,10.014284,78.225247,71058.61,Residential Plot,Semi-Urban,3 BHK,0,2314.8,177020760.33,Yes,No,No,Yes,Leasehold,Buy,Clear,"Water Supply, Road Access",55,Builder,68.56,50.0,Increasing,16.07,Medium,2026-07-29
PROP002844,Chennai,13.034109,80.11982,135781.53,Industrial Plot,Industrial Hub,NA,0,3078.56,424832090.67,Yes,Yes,Yes,No,Leasehold,Buy,Clear,"Road Access, Electricity",134,NRI,36.18,50.0,Stable,12.65,Low,2026-05-11
PROP002845,Ahmedabad,23.265946,72.426677,43534.99,Industrial Space,Industrial Hub,NA,4,1565.68,67565896.92,No,Yes,No,Yes,Leasehold,Rent,Clear,Basic,22,Real Estate Agent,76.15,50.0,Decreasing,-1.93,Low,2026-08-31
PROP002846,Chandigarh,30.726419,76.744788,27241.74,Residential Plot,Urban,3 BHK,4,8051.54,233899078.64,No,Yes,No,Yes,Freehold,Buy,Clear,Road Access,81,Real Estate Agent,89.39,93.75,Increasing,13.24,High,2026-07-03
PROP002847,Visakhapatnam,17.722334,83.181441,164950.63,Commercial Plot,Semi-Urban,NA,10,4158.26,646364312.03,No,No,No,Yes,Leasehold,Buy,Clear,Electricity,77,NRI,81.31,50.0,Increasing,10.75,Medium,2026-07-07
PROP002848,Surat,21.154462,72.769455,70444.61,Farm House,Semi-Urban,5+ BHK,29,1315.57,92025096.58,No,Yes,No,No,Leasehold,Lease,Clear,Parking,187,Individual,25.23,62.5,Decreasing,-11.34,Low,2026-03-19
PROP002849,Pune,18.366368,73.73067,99415.4,Development Land,Urban,NA,27,6220.29,606546324.15,Yes,Yes,No,No,Freehold,Buy,Clear,Basic,35,Real Estate Agent,77.07,100.0,Increasing,5.39,Medium,2026-08-18
PROP002850,Mangalore,12.894505,74.784372,15556.29,Residential House,Semi-Urban,4 BHK,0,5466.85,91403322.22,Yes,Yes,No,No,Freehold,Rent,Clear,"Swimming Pool, Gym, Security, Park, Electricity",69,Individual,81.11,50.0,Increasing,20.09,High,2026-07-15
PROP002851,Mangalore,12.875803,74.707323,14019.3,Industrial Plot,Industrial Hub,NA,0,1506.91,21859092.35,Yes,Yes,Yes,Yes,Freehold,Sell,Clear,"Electricity, Water Supply",13,Individual,39.83,40.0,Stable,10.65,Low,2026-09-09
PROP002852,Vadodara,22.339682,73.208568,46487.81,Vacant Land,Rural,NA,0,1084.84,54541337.21,Yes,Yes,Yes,No,Freehold,Buy,Clear,Basic,92,Builder,56.52,20.0,Stable,2.98,Low,2026-06-22
PROP002853,Mumbai,19.052904,72.977559,153047.61,Commercial Plot,Semi-Urban,NA,27,10401.04,1526907573.53,Yes,Yes,Yes,Yes,Freehold,Sell,Clear,Electricity,78,Real Estate Agent,52.86,81.25,Stable,-7.36,Low,2026-07-06
PROP002854,Lucknow,26.88353,80.974388,8815.14,Retail Space,Commercial,NA,29,3973.56,30734895.75,No,No,No,Yes,Freehold,Rent,Mortgaged,"Signage, Parking",49,NRI,63.94,80.0,Increasing,1.03,Low,2026-08-04
PROP002855,Tirupur,11.15584,77.393228,78956.2,Agricultural Land,Rural,NA,18,114.12,9446078.46,No,Yes,Yes,Yes,Freehold,Buy,Clear,Road Access,127,Builder,32.06,20.0,Decreasing,-11.26,Low,2026-05-18
PROP002856,Chandigarh,30.745434,76.73978,56728.98,Industrial Plot,Industrial Hub,NA,6,2163.11,112516657.68,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,"Electricity, Road Access",97,NRI,62.66,50.0,Increasing,14.93,Medium,2026-06-17
PROP002857,Mysore,12.334837,76.718144,7652.9,Commercial Space,Commercial,NA,0,10806.29,64997925.78,Yes,Yes,No,Yes,Leasehold,Buy,Mortgaged,Security,39,Bank,60.22,80.0,Increasing,13.26,Medium,2026-08-14
PROP002858,Vadodara,22.323681,73.239388,56357.87,Residential Plot,Semi-Urban,4 BHK,0,3706.83,225776430.33,Yes,Yes,Yes,No,Freehold,Buy,Clear,"Water Supply, Road Access",90,Real Estate Agent,86.97,50.0,Increasing,13.09,High,2026-06-24
PROP002859,Vadodara,22.333564,73.14736,48593.65,Commercial Space,Commercial,NA,0,10575.51,543902583.03,Yes,Yes,No,Yes,Freehold,Buy,Clear,"WiFi, Parking, Elevator",27,NRI,68.86,80.0,Increasing,20.1,Medium,2026-08-26
PROP002860,Tirupur,11.084407,77.284747,18095.22,Retail Space,Commercial,NA,3,7240.58,90528374.38,No,Yes,Yes,Yes,Leasehold,Sell,Disputed,Parking,31,Individual,48.06,80.0,Increasing,11.4,Low,2026-08-22
PROP002861,Mangalore,12.895841,74.716788,2814.8,Office Space,Commercial,NA,0,12461.3,33303229.34,No,Yes,No,Yes,Freehold,Rent,Clear,"AC, Elevator, Parking, WiFi",30,NRI,73.12,80.0,Increasing,22.18,Medium,2026-08-23
PROP002862,Kolkata,22.65683,88.419818,74894.25,Commercial Plot,Urban,NA,0,10208.59,808787816.78,No,Yes,Yes,Yes,Freehold,Sell,Clear,Parking,109,Individual,59.64,93.75,Stable,11.21,Low,2026-06-05
PROP002863,Aurangabad,19.922566,75.468159,428443.45,Industrial Plot,Industrial Hub,NA,19,527.08,217307380.74,No,No,No,No,Freehold,Rent,Clear,"Road Access, Electricity",93,Builder,66.16,40.0,Stable,-4.92,Low,2026-06-21
PROP002864,Delhi,28.525882,77.339013,129107.05,Agricultural Land,Rural,NA,18,470.47,57700679.19,No,Yes,No,Yes,Freehold,Buy,Clear,Road Access,103,NRI,19.61,32.5,Decreasing,-9.98,Low,2026-06-11
PROP002865,Tirunelveli,8.742866,77.624927,94804.61,Farm House,Urban,4 BHK,26,867.25,83828216.35,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,"Security, Water Supply",52,NRI,38.68,93.75,Increasing,2.21,Low,2026-08-01
PROP002866,Vadodara,22.348099,73.191599,48975.9,Warehouse,Industrial Hub,NA,12,996.81,49040395.35,No,No,Yes,Yes,Freehold,Sell,Clear,"Water Supply, Security",35,Builder,42.15,40.0,Stable,3.47,Low,2026-08-18
PROP002867,Pune,18.437971,73.731662,199332.13,Development Land,Rural,NA,9,2196.87,398304611.79,Yes,Yes,Yes,Yes,Leasehold,Buy,Clear,Basic,246,Bank,53.22,32.5,Decreasing,-2.6,Low,2026-01-19
PROP002868,Jaipur,26.814608,75.709046,24370.6,Office Space,Commercial,NA,8,9976.58,231534567.76,Yes,Yes,Yes,Yes,Freehold,Sell,Clear,"Parking, Elevator",73,Real Estate Agent,58.96,100.0,Increasing,15.63,Low,2026-07-11
PROP002869,Pune,18.398914,73.826144,116914.94,Development Land,Urban,NA,0,13184.86,1596205349.75,Yes,No,Yes,Yes,Freehold,Buy,Clear,Basic,71,Builder,54.99,100.0,Increasing,21.99,Low,2026-07-13
PROP002870,Delhi,28.405408,77.000848,123515.82,Mixed-Use Property,Urban,NA,13,13656.15,1747109928.78,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,Basic,22,Real Estate Agent,78.57,100.0,Increasing,14.57,High,2026-08-31
PROP002871,Lucknow,26.841315,80.989014,44001.49,Residential Plot,Semi-Urban,3 BHK,16,1794.79,66410782.32,No,No,Yes,Yes,Leasehold,Buy,Mortgaged,Road Access,103,Bank,67.9,50.0,Increasing,5.61,Medium,2026-06-11
PROP002872,Mysore,12.353628,76.767207,9896.21,Mixed-Use Property,Rural,NA,0,1651.03,17390855.85,No,Yes,Yes,Yes,Leasehold,Rent,Clear,Basic,51,Bank,80.18,20.0,Increasing,18.75,High,2026-08-02
PROP002873,Madurai,10.092038,78.261948,1722.9,Industrial Space,Industrial Hub,NA,17,532.89,826845.08,Yes,Yes,No,Yes,Freehold,Sell,Clear,Basic,86,NRI,76.56,40.0,Stable,3.62,Low,2026-06-28
PROP002874,Mysore,12.210015,76.76396,130980.22,Commercial Plot,Urban,NA,28,3996.42,417936436.77,Yes,Yes,Yes,Yes,Leasehold,Buy,Mortgaged,"Road Access, Electricity",91,Bank,77.28,75.0,Stable,-4.16,Low,2026-06-23
PROP002875,Pune,18.427998,73.742081,17071.1,Commercial Space,Commercial,NA,13,17354.89,302292401.94,Yes,No,Yes,Yes,Co-op,Buy,Clear,"Parking, Security",95,Builder,79.71,100.0,Stable,7.86,Medium,2026-06-19
PROP002876,Mumbai,19.295163,72.941889,44925.11,Development Land,Semi-Urban,NA,28,5687.92,237955474.68,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,Basic,153,NRI,85.16,81.25,Stable,0.76,Low,2026-04-22
PROP002877,Bangalore,13.03932,77.642457,745274.42,Agricultural Land,Rural,NA,0,647.97,452809497.79,Yes,Yes,Yes,Yes,Freehold,Sell,Clear,Road Access,46,Individual,31.44,32.5,Stable,12.51,Low,2026-08-07
PROP002878,Vellore,12.996761,79.106607,63031.05,Industrial Space,Industrial Hub,NA,28,374.6,12790018.84,No,Yes,Yes,Yes,Leasehold,Lease,Under Litigation,Basic,106,Bank,49.71,40.0,Stable,-6.04,Low,2026-06-08
PROP002879,Aurangabad,19.953196,75.302125,129728.66,Vacant Land,Semi-Urban,NA,17,1054.18,148877547.69,Yes,Yes,No,Yes,Leasehold,Sell,Clear,Basic,110,Bank,33.95,50.0,Stable,4.97,Low,2026-06-04
PROP002880,Jaipur,26.801748,75.749546,6633.12,Farm House,Urban,1 BHK,13,3906.27,20971729.5,Yes,No,Yes,Yes,Freehold,Rent,Disputed,"Water Supply, Security",125,Individual,25.34,93.75,Stable,4.27,Low,2026-05-20
PROP002881,Madurai,10.070605,78.249917,17924.61,Residential Plot,Urban,2 BHK,20,1976.69,35970252.97,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,Water Supply,128,Real Estate Agent,67.52,75.0,Stable,2.84,Low,2026-05-17
PROP002882,Visakhapatnam,17.674154,83.141031,138144.16,Land Bank,Semi-Urban,NA,23,1068.37,155826674.66,Yes,Yes,No,Yes,Leasehold,Buy,Clear,Basic,141,Builder,36.02,50.0,Decreasing,-7.91,Low,2026-05-04
PROP002883,Madurai,10.050333,78.177469,266663.72,Agricultural Land,Rural,NA,1,190.58,49406762.27,No,No,Yes,No,Freehold,Rent,Clear,Water Supply,168,Real Estate Agent,31.88,20.0,Decreasing,0.29,Low,2026-04-07
PROP002884,Delhi,28.713745,77.359311,36135.21,Development Land,Semi-Urban,NA,0,10218.86,345129160.66,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,Basic,22,Individual,66.35,81.25,Increasing,19.98,Medium,2026-08-31
PROP002885,Mysore,12.317074,76.671293,2480.33,Residential House,Urban,3 BHK,8,5198.88,10738438.07,No,Yes,Yes,Yes,Freehold,Buy,Disputed,"Water Supply, Swimming Pool, Security, Electricity, Parking, Park",102,Builder,82.51,75.0,Increasing,18.62,High,2026-06-12
PROP002886,Surat,21.10449,72.799519,27100.44,Residential House,Urban,2 BHK,16,6010.89,172487714.11,Yes,No,Yes,Yes,Leasehold,Sell,Clear,"Parking, Gym",67,Bank,61.07,93.75,Increasing,8.69,Medium,2026-07-17
PROP002887,Bangalore,13.138626,77.761961,415544.75,Land Bank,Urban,NA,0,6282.42,2706522567.17,Yes,Yes,Yes,Yes,Freehold,Sell,Clear,Basic,8,Real Estate Agent,47.27,100.0,Increasing,20.08,Low,2026-09-14
PROP002888,Madurai,9.970991,78.284649,14425.94,Industrial Space,Industrial Hub,NA,5,823.05,12143541.2,Yes,No,No,No,Freehold,Buy,Clear,Basic,83,Individual,76.32,40.0,Increasing,16.42,High,2026-07-01
PROP002889,Visakhapatnam,17.631025,83.17318,307364.6,Industrial Plot,Industrial Hub,NA,12,1047.33,320476737.63,Yes,Yes,Yes,No,Freehold,Buy,Clear,"Water Supply, Road Access",234,NRI,37.69,40.0,Decreasing,-6.6,Low,2026-01-31
PROP002890,Tirupur,11.184018,77.240804,5625.75,Retail Space,Commercial,NA,0,6030.29,31975155.31,Yes,Yes,No,Yes,Co-op,Buy,Clear,Security,85,NRI,59.94,80.0,Stable,15.78,Low,2026-06-29
PROP002891,Bangalore,13.090595,77.573092,384028.3,Agricultural Land,Rural,NA,4,599.25,214380603.12,Yes,Yes,No,Yes,Freehold,Buy,Clear,Road Access,49,Individual,20.64,32.5,Stable,9.3,Low,2026-08-04
PROP002892,Salem,11.643266,78.220008,1955.03,Office Space,Commercial,NA,12,5259.31,9290764.13,No,No,Yes,No,Leasehold,Buy,Clear,"Security, Elevator, WiFi, AC",39,Bank,64.31,80.0,Increasing,16.34,Medium,2026-08-14
PROP002893,Salem,11.450862,78.320997,93444.69,Warehouse,Industrial Hub,NA,29,259.44,23694319.35,Yes,No,No,Yes,Leasehold,Sell,Clear,Electricity,256,Bank,51.09,40.0,Decreasing,-15.75,Low,2026-01-09
PROP002894,Vellore,13.061843,79.237228,54776.78,Residential Plot,Urban,2 BHK,0,3185.63,91171518.6,Yes,Yes,Yes,Yes,Leasehold,Lease,Under Litigation,Road Access,18,Bank,60.82,75.0,Stable,14.22,Medium,2026-09-04
PROP002895,Mumbai,19.232757,72.999683,196790.54,Development Land,Rural,NA,7,4513.9,923581804.08,No,Yes,Yes,Yes,Freehold,Buy,Clear,Basic,216,Real Estate Agent,75.86,32.5,Decreasing,-4.6,Low,2026-02-18
PROP002896,Surat,21.247946,72.703919,112415.53,Vacant Land,Rural,NA,0,1088.14,114009568.56,Yes,Yes,Yes,Yes,Leasehold,Sell,Clear,Basic,98,Bank,43.78,25.0,Stable,9.51,Low,2026-06-16
PROP002897,Jaipur,26.892926,75.783437,161932.06,Development Land,Urban,NA,28,2451.22,395164157.42,Yes,Yes,No,No,Co-op,Buy,Clear,Basic,91,Builder,53.14,93.75,Increasing,-0.53,Low,2026-06-23
PROP002898,Lucknow,26.842758,81.037136,196786.6,Commercial Plot,Urban,NA,10,4807.78,1032698563.87,Yes,Yes,Yes,Yes,Freehold,Rent,Clear,"Parking, Road Access",8,Real Estate Agent,69.97,75.0,Increasing,18.06,Medium,2026-09-14
PROP002899,Hyderabad,17.36923,78.405147,44323.72,Vacant Land,Urban,NA,8,4627.84,200797441.04,Yes,Yes,Yes,Yes,Freehold,Rent,Clear,Basic,49,NRI,58.67,100.0,Increasing,12.68,Low,2026-08-04
PROP002900,Visakhapatnam,17.658322,83.17865,16730.58,Industrial Space,Industrial Hub,NA,0,1327.44,20757950.97,Yes,No,Yes,No,Freehold,Buy,Clear,Basic,69,Real Estate Agent,46.73,40.0,Increasing,16.73,Low,2026-07-15
PROP002901,Madurai,9.819643,78.120559,981767.51,Agricultural Land,Rural,NA,0,189.04,143359802.19,Yes,Yes,No,Yes,Freehold,Rent,Disputed,Road Access,50,Real Estate Agent,26.9,20.0,Stable,5.04,Low,2026-08-03
PROP002902,Bangalore,12.93204,77.54298,24284.69,Residential House,Urban,4 BHK,16,8441.32,227249160.61,Yes,Yes,No,Yes,Freehold,Rent,Clear,"Electricity, Security",11,Individual,78.28,100.0,Stable,8.85,Medium,2026-09-11
PROP002903,Tirupur,11.187765,77.311963,171837.92,Warehouse,Industrial Hub,NA,21,477.45,85248504.08,Yes,Yes,No,Yes,Co-op,Sell,Clear,Water Supply,118,Individual,61.22,40.0,Stable,3.1,Low,2026-05-27
PROP002904,Surat,21.105234,72.969052,460920.78,Land Bank,Rural,NA,6,656.54,219150857.74,No,No,Yes,Yes,Leasehold,Sell,Disputed,Basic,154,Bank,47.81,25.0,Decreasing,-4.17,Low,2026-04-21
PROP002905,Surat,21.214835,72.927553,11921.87,Office Space,Commercial,NA,9,10393.99,118580228.67,No,No,Yes,Yes,Freehold,Buy,Clear,"AC, Security",8,Individual,64.98,100.0,Increasing,17.06,Medium,2026-09-14
PROP002906,Surat,21.100512,72.723464,83803.66,Industrial Space,Industrial Hub,NA,0,1448.23,105561311.5,No,Yes,No,Yes,Leasehold,Buy,Mortgaged,Basic,87,Real Estate Agent,45.23,50.0,Increasing,12.34,Low,2026-06-27
PROP002907,Madurai,9.969415,78.279151,98769.37,Vacant Land,Rural,NA,0,537.26,51607440.3,No,Yes,No,Yes,Co-op,Buy,Clear,Basic,60,Real Estate Agent,56.1,20.0,Stable,8.73,Low,2026-07-24
PROP002908,Ahmedabad,23.073596,72.542379,36465.29,Residential House,Semi-Urban,2 BHK,26,2964.72,107218545.95,Yes,No,No,Yes,Freehold,Rent,Clear,"Swimming Pool, Water Supply, Gym, Security",78,NRI,69.59,62.5,Increasing,4.54,Low,2026-07-06
PROP002909,Indore,22.785331,75.874696,9763.42,Retail Space,Commercial,NA,3,10877.74,113254550.77,No,Yes,Yes,Yes,Leasehold,Buy,Clear,Security,17,NRI,85.23,80.0,Increasing,22.3,High,2026-09-05
PROP002910,Gurgaon,28.446684,77.166388,13630.07,Retail Space,Commercial,NA,10,20000.0,269558716.95,No,Yes,Yes,Yes,Freehold,Rent,Clear,"Security, Signage",65,Builder,60.0,100.0,Increasing,10.57,Low,2026-07-19
PROP002911,Vellore,13.0242,79.273222,118360.29,Vacant Land,Semi-Urban,NA,0,1142.1,102138629.34,Yes,No,Yes,No,Freehold,Buy,Disputed,Basic,90,NRI,46.36,50.0,Increasing,12.34,Low,2026-06-24
PROP002912,Tirunelveli,8.712403,77.6796,137509.16,Mixed-Use Property,Urban,NA,28,1253.32,162902650.74,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,Basic,42,NRI,76.49,93.75,Increasing,5.7,Medium,2026-08-11
PROP002913,Mangalore,12.870349,74.810502,16537.44,Retail Space,Commercial,NA,0,13777.39,154013253.22,Yes,Yes,Yes,Yes,Leasehold,Lease,Disputed,"Signage, Security",33,Real Estate Agent,60.72,80.0,Increasing,21.57,Medium,2026-08-20
PROP002914,Lucknow,26.852976,81.084436,54744.34,Industrial Space,Industrial Hub,NA,0,1276.95,74037010.7,No,No,Yes,Yes,Freehold,Buy,Clear,Basic,66,Individual,77.76,40.0,Increasing,16.74,High,2026-07-18
PROP002915,Vadodara,22.369555,73.229736,146217.77,Mixed-Use Property,Urban,NA,14,5549.22,876652700.85,Yes,Yes,Yes,Yes,Leasehold,Buy,Clear,Basic,161,Individual,64.31,75.0,Stable,0.13,Low,2026-04-14
PROP002916,Lucknow,26.88794,81.095536,9666.33,Commercial Plot,Semi-Urban,NA,0,5439.81,48009343.4,No,Yes,No,Yes,Leasehold,Buy,Clear,Electricity,34,Bank,46.62,50.0,Stable,11.58,Low,2026-08-19
PROP002917,Indore,22.763214,75.86514,39543.36,Commercial Space,Commercial,NA,0,8456.75,366968305.74,No,Yes,No,Yes,Freehold,Sell,Clear,Security,69,Builder,65.11,80.0,Increasing,20.67,Medium,2026-07-15
PROP002918,Aurangabad,19.87999,75.326395,35961.79,Commercial Space,Commercial,NA,12,4005.71,146080219.99,No,Yes,No,No,Freehold,Lease,Clear,Security,18,Real Estate Agent,49.61,80.0,Increasing,14.31,Low,2026-09-04
PROP002919,Delhi,28.407694,77.190202,21552.99,Residential Plot,Urban,1 BHK,0,9736.09,201259569.56,Yes,Yes,Yes,Yes,Leasehold,Sell,Clear,Road Access,41,Individual,58.58,100.0,Stable,7.18,Low,2026-08-12
PROP002920,Hyderabad,17.378394,78.436408,6305.37,Retail Space,Commercial,NA,0,17806.59,113158394.45,Yes,Yes,No,Yes,Freehold,Buy,Clear,Parking,28,Builder,88.37,100.0,Increasing,20.51,High,2026-08-25
PROP002921,Visakhapatnam,17.765389,83.150163,139731.85,Commercial Plot,Urban,NA,8,6987.84,780870632.0,Yes,Yes,Yes,Yes,Co-op,Buy,Mortgaged,Road Access,18,Builder,57.49,75.0,Increasing,11.16,Low,2026-09-04
PROP002922,Bangalore,13.158824,77.579679,41715.98,Commercial Space,Commercial,NA,0,20000.0,599520526.1,Yes,Yes,Yes,Yes,Freehold,Buy,Disputed,"WiFi, Parking, Security",81,Builder,50.44,100.0,Increasing,14.43,Low,2026-07-03
PROP002923,Surat,21.170547,72.734191,88739.58,Agricultural Land,Rural,NA,10,307.64,27723310.9,No,Yes,Yes,No,Freehold,Buy,Clear,Road Access,169,Individual,20.68,25.0,Decreasing,-6.85,Low,2026-04-06
PROP002924,Ahmedabad,23.266919,72.473358,58427.56,Development Land,Semi-Urban,NA,8,3752.78,204298160.94,Yes,Yes,Yes,Yes,Leasehold,Sell,Clear,Basic,18,Bank,80.44,62.5,Increasing,9.77,Medium,2026-09-04
PROP002925,Kolkata,22.528361,88.329923,10484.45,Office Space,Commercial,NA,0,14099.05,142588629.01,Yes,No,Yes,No,Freehold,Rent,Clear,"AC, WiFi, Parking, Elevator",41,Individual,53.95,100.0,Increasing,20.01,Low,2026-08-12
PROP002926,Bangalore,13.155034,77.688827,43049.98,Commercial Plot,Urban,NA,28,8830.35,357464920.47,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,"Road Access, Parking",84,Builder,62.59,100.0,Increasing,4.72,Low,2026-06-30
PROP002927,Surat,21.281857,72.948876,31794.89,Mixed-Use Property,Rural,NA,0,2450.34,83950849.01,Yes,No,Yes,Yes,Freehold,Buy,Clear,Basic,60,Individual,76.23,25.0,Decreasing,-4.02,Low,2026-07-24
PROP002928,Mumbai,19.095702,72.991322,2911.96,Commercial Space,Commercial,NA,14,20000.0,48469384.18,Yes,Yes,Yes,Yes,Freehold,Buy,Mortgaged,Elevator,161,Builder,79.14,100.0,Stable,5.26,Medium,2026-04-14
PROP002929,Kolkata,22.567792,88.411167,15084.72,Mixed-Use Property,Urban,NA,14,6285.5,71168147.13,Yes,No,Yes,Yes,Leasehold,Buy,Disputed,Basic,54,Bank,50.17,93.75,Stable,6.56,Low,2026-07-30
PROP002930,Chandigarh,30.769528,76.771888,18872.98,Warehouse,Industrial Hub,NA,0,1917.34,39578094.9,Yes,No,Yes,Yes,Freehold,Buy,Clear,Electricity,152,Real Estate Agent,42.77,50.0,Stable,11.16,Low,2026-04-23
PROP002931,Delhi,28.401149,77.170426,42651.84,Farm House,Urban,5+ BHK,20,6477.84,252926982.37,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,"Parking, Water Supply",126,NRI,29.1,100.0,Stable,-3.97,Low,2026-05-19
PROP002932,Indore,22.714116,75.825236,44475.78,Commercial Space,Commercial,NA,3,7849.19,378901318.92,No,Yes,Yes,No,Leasehold,Sell,Clear,Elevator,95,Bank,53.46,80.0,Increasing,11.74,Low,2026-06-19
PROP002933,Gurgaon,28.455781,77.07292,21354.53,Industrial Space,Industrial Hub,NA,24,2066.38,41076232.74,Yes,Yes,Yes,Yes,Freehold,Buy,Clear,Basic,142,Real Estate Agent,51.09,65.0,Decreasing,-11.79,Low,2026-05-03
PROP002934,Mangalore,12.848561,74.760794,23008.0,Office Space,Commercial,NA,0,14303.51,346618570.46,No,No,Yes,Yes,Leasehold,Lease,Clear,"Parking, WiFi, Elevator, AC",87,Real Estate Agent,69.82,80.0,Stable,14.36,Medium,2026-06-27
PROP002935,Gurgaon,28.38214,77.176305,1422.02,Retail Space,Commercial,NA,1,20000.0,13251728.29,No,No,No,Yes,Freehold,Sell,Under Litigation,"Signage, Security",104,Builder,89.6,100.0,Increasing,17.64,High,2026-06-10
PROP002936,Aurangabad,19.999645,75.470084,282553.17,Development Land,Urban,NA,21,2174.46,493754002.08,Yes,Yes,Yes,Yes,Leasehold,Sell,Mortgaged,Basic,33,Bank,64.09,75.0,Increasing,5.76,Medium,2026-08-20
PROP002937,Indore,22.784576,75.803188,214774.81,Development Land,Rural,NA,0,1552.32,234497079.19,No,Yes,No,Yes,Leasehold,Sell,Disputed,Basic,169,Builder,50.44,20.0,Stable,3.51,Low,2026-04-06
PROP002938,Salem,11.621961,78.116815,51371.71,Development Land,Semi-Urban,NA,18,1048.7,58717955.74,No,Yes,No,Yes,Freehold,Rent,Clear,Basic,39,Real Estate Agent,53.56,50.0,Increasing,9.61,Low,2026-08-14
PROP002939,Vellore,12.973194,79.299454,22524.78,Office Space,Commercial,NA,0,5775.39,133484619.03,No,No,Yes,No,Freehold,Sell,Clear,"AC, Elevator, Parking",20,Builder,100.0,80.0,Increasing,23.98,High,2026-09-02
PROP002940,Jaipur,26.801197,75.71306,41743.49,Residential House,Semi-Urban,3 BHK,0,5431.58,224032917.97,No,No,No,Yes,Leasehold,Buy,Clear,"Park, Swimming Pool",32,Individual,81.58,62.5,Increasing,20.55,High,2026-08-21
PROP002941,Salem,11.645304,78.151214,49593.38,Residential House,Rural,5+ BHK,29,306.42,12381956.08,Yes,No,No,No,Leasehold,Buy,Disputed,"Electricity, Gym",98,Bank,92.91,20.0,Increasing,4.45,Low,2026-06-16
PROP002942,Gurgaon,28.43886,77.162843,19087.86,Office Space,Commercial,NA,0,20000.0,389029907.88,No,Yes,Yes,Yes,Leasehold,Buy,Clear,"Security, WiFi, Parking",90,Bank,92.33,100.0,Increasing,15.54,High,2026-06-24
PROP002943,Mumbai,19.266841,72.842876,86069.35,Mixed-Use Property,Urban,NA,15,19265.96,1537261542.79,Yes,Yes,Yes,Yes,Freehold,Rent,Clear,Basic,61,Real Estate Agent,54.03,100.0,Increasing,11.87,Low,2026-07-23
PROP002944,Surat,21.285456,72.991492,6410.12,Residential House,Semi-Urban,5+ BHK,0,5466.38,30876075.39,No,No,Yes,Yes,Leasehold,Sell,Disputed,"Water Supply, Electricity, Swimming Pool, Security, Parking, Park",71,Real Estate Agent,67.44,62.5,Increasing,20.96,Medium,2026-07-13
PROP002945,Indore,22.74897,75.82238,5265.14,Residential House,Semi-Urban,4 BHK,0,3824.25,22461955.07,No,No,Yes,Yes,Leasehold,Sell,Clear,"Parking, Park, Electricity, Water Supply",6,Individual,71.65,50.0,Increasing,18.97,Medium,2026-09-16
PROP002946,Visakhapatnam,17.693351,83.107494,98941.64,Vacant Land,Semi-Urban,NA,8,1979.13,181310429.72,No,Yes,Yes,Yes,Freehold,Rent,Clear,Basic,171,NRI,31.09,50.0,Stable,4.34,Low,2026-04-04
PROP002947,Tirunelveli,8.774977,77.629595,284885.53,Land Bank,Semi-Urban,NA,3,864.13,268911548.79,Yes,No,No,No,Freehold,Sell,Clear,Basic,52,NRI,49.64,62.5,Increasing,18.34,Low,2026-08-01
PROP002948,Tirupur,11.04955,77.39151,663579.22,Agricultural Land,Rural,NA,21,82.32,44874109.45,Yes,Yes,No,Yes,Co-op,Buy,Mortgaged,Water Supply,156,Builder,21.27,20.0,Stable,0.2,Low,2026-04-19
PROP002949,Pune,18.547688,74.075578,12431.22,Commercial Plot,Rural,NA,19,2061.7,25913161.81,No,Yes,No,Yes,Freehold,Sell,Clear,Electricity,180,Real Estate Agent,46.67,32.5,Decreasing,-12.02,Low,2026-03-26
